host_timestamp,device_timestamp,steps,raw_magnitude,filtered_magnitude,last_buzz,datetime
1769526466.774656,14.978,0,1.014351,0.023507,,2026-01-27 09:07:46.774656
1769526467.291196,15.487,0,1.035663,0.028772,,2026-01-27 09:07:47.291196
1769526467.800985,15.995,0,1.030742,0.029796,,2026-01-27 09:07:47.800985
1769526468.355052,16.503,0,1.027503,0.026454,,2026-01-27 09:07:48.355052
1769526468.934409,17.011,0,1.025535,0.02647,,2026-01-27 09:07:48.934409
1769526469.316445,17.519,0,1.023687,0.027113,,2026-01-27 09:07:49.316445
1769526469.855294,18.027,0,1.024569,0.02525,,2026-01-27 09:07:49.855294
1769526470.362262,18.535,0,1.028586,0.025165,,2026-01-27 09:07:50.362262
1769526470.934773,19.043,0,1.025447,0.025778,,2026-01-27 09:07:50.934773
1769526471.350614,19.551,0,1.021519,0.022556,,2026-01-27 09:07:51.350614
1769526471.893888,20.059,0,1.029743,0.023633,,2026-01-27 09:07:51.893888
1769526472.395734,20.567,0,1.021458,0.023328,,2026-01-27 09:07:52.395734
1769526472.916578,21.075,0,1.354244,0.045578,,2026-01-27 09:07:52.916578
1769526473.457146,21.583,0,1.044068,0.026777,,2026-01-27 09:07:53.457146
1769526473.936705,22.091,0,0.767382,0.012893,,2026-01-27 09:07:53.936705
1769526474.456584,22.599,0,1.08015,0.050963,,2026-01-27 09:07:54.456584
