host_timestamp,device_timestamp,steps,raw_magnitude,filtered_magnitude,last_buzz,datetime
1769007286.077579,7.342,0,1.04167,0.048142,,2026-01-21 08:54:46.077579
1769007286.506568,7.851,0,1.039698,0.041732,,2026-01-21 08:54:46.506568
1769007287.099205,8.359,0,1.038781,0.041519,,2026-01-21 08:54:47.099205
1769007287.540894,8.867,0,1.04051,0.043299,,2026-01-21 08:54:47.540894
1769007288.074406,9.375,0,1.045403,0.04259,,2026-01-21 08:54:48.074406
1769007288.559801,9.883,0,1.055997,0.046721,,2026-01-21 08:54:48.559801
1769007289.106903,10.391,0,1.085786,0.058002,,2026-01-21 08:54:49.106903
1769007289.574816,10.899,0,1.130553,0.054752,,2026-01-21 08:54:49.574816
1769007290.057682,11.407,0,1.069398,0.068789,,2026-01-21 08:54:50.057682
1769007290.597523,11.916,0,1.073846,0.077752,,2026-01-21 08:54:50.597523
1769007291.082282,12.424,0,0.95611,0.026278,,2026-01-21 08:54:51.082282
1769007291.674669,12.932,0,2.077207,-0.047057,,2026-01-21 08:54:51.674669
1769007292.096711,13.44,0,2.215299,0.297654,,2026-01-21 08:54:52.096711
1769007292.631984,13.948,0,1.673982,0.420892,,2026-01-21 08:54:52.631984
1769007293.118515,14.456,0,1.421587,0.411848,,2026-01-21 08:54:53.118515
1769007293.722797,14.964,0,0.812275,0.268472,,2026-01-21 08:54:53.722797
1769007294.551436,15.472,0,0.612727,0.276819,,2026-01-21 08:54:54.551436
1769007294.682958,15.98,0,0.539524,0.177012,,2026-01-21 08:54:54.682958
1769007295.157553,16.488,0,0.461364,0.238003,,2026-01-21 08:54:55.157553
1769007295.710083,16.996,0,0.720758,0.413242,,2026-01-21 08:54:55.710083
1769007296.177776,17.504,0,1.12729,0.438889,,2026-01-21 08:54:56.177776
1769007296.716882,18.012,0,1.278888,0.333242,,2026-01-21 08:54:56.716882
1769007297.502777,18.52,0,1.141226,0.345278,,2026-01-21 08:54:57.502777
1769007297.734799,19.028,0,0.857138,0.2487,,2026-01-21 08:54:57.734799
1769007298.227468,19.536,0,0.648958,0.261345,,2026-01-21 08:54:58.227468
1769007298.75708,20.044,0,0.675831,0.201506,,2026-01-21 08:54:58.757080
1769007299.296417,20.552,0,0.652854,0.152974,,2026-01-21 08:54:59.296417
1769007299.727594,21.06,0,0.594863,0.169323,,2026-01-21 08:54:59.727594
1769007300.260978,21.568,0,0.535809,0.198825,,2026-01-21 08:55:00.260978
1769007300.799645,22.076,0,1.133471,0.36118,,2026-01-21 08:55:00.799645
1769007301.278422,22.584,0,1.268538,0.411538,,2026-01-21 08:55:01.278422
1769007301.805912,23.092,0,1.347263,0.364232,,2026-01-21 08:55:01.805912
1769007302.297999,23.6,0,1.996889,0.247155,,2026-01-21 08:55:02.297999
1769007302.778974,24.108,0,1.663624,0.169404,,2026-01-21 08:55:02.778974
1769007303.328943,24.616,0,0.408878,-0.190584,,2026-01-21 08:55:03.328943
1769007303.79567,25.124,0,0.551105,-0.121177,,2026-01-21 08:55:03.795670
1769007304.39839,25.632,0,0.952927,-0.03977,,2026-01-21 08:55:04.398390
1769007304.837955,26.14,0,1.196355,-0.00523,,2026-01-21 08:55:04.837955
1769007305.359084,26.648,0,1.254802,0.263655,,2026-01-21 08:55:05.359084
1769007305.84881,27.156,0,1.380766,0.385932,,2026-01-21 08:55:05.848810
1769007306.318862,27.664,0,1.391519,0.483988,,2026-01-21 08:55:06.318862
1769007306.864103,28.172,0,1.738551,0.498888,,2026-01-21 08:55:06.864103
1769007307.363492,28.68,0,2.23467,0.346972,,2026-01-21 08:55:07.363492
1769007307.871064,29.188,0,2.314898,0.185076,,2026-01-21 08:55:07.871064
1769007308.522491,29.696,0,0.720897,0.001762,,2026-01-21 08:55:08.522491
1769007308.898021,30.204,0,0.646284,-0.098621,,2026-01-21 08:55:08.898021
1769007309.547546,30.712,0,0.232047,-0.089951,,2026-01-21 08:55:09.547546
1769007309.917278,31.22,0,0.315241,-0.044318,,2026-01-21 08:55:09.917278
1769007310.58873,31.728,0,0.61784,0.012696,,2026-01-21 08:55:10.588730
1769007310.93813,32.236,0,1.136758,0.054239,,2026-01-21 08:55:10.938130
1769007311.588498,32.744,0,1.210136,0.077604,,2026-01-21 08:55:11.588498
1769007311.957405,33.252,0,0.926104,-0.011833,,2026-01-21 08:55:11.957405
1769007312.502565,33.76,0,1.094461,0.044249,,2026-01-21 08:55:12.502565
1769007312.997044,34.268,0,1.039006,-0.016971,,2026-01-21 08:55:12.997044
1769007313.453704,34.776,0,1.057036,0.007858,,2026-01-21 08:55:13.453704
1769007314.357434,35.677,0,1.009952,0.02602,1769007314.335434,2026-01-21 08:55:14.357434
1769007314.866602,36.186,0,1.584735,0.141982,1769007314.335602,2026-01-21 08:55:14.866602
1769007315.377383,36.694,0,1.04702,0.040993,1769007314.338383,2026-01-21 08:55:15.377383
1769007315.853549,37.202,0,1.038927,0.049571,1769007314.306549,2026-01-21 08:55:15.853549
