host_timestamp,device_timestamp,steps,raw_magnitude,filtered_magnitude,last_buzz,datetime
1769005096.458858,17.465,0,1.039863,0.039402,,2026-01-21 08:18:16.458858
1769005096.998266,17.974,0,1.028756,0.037688,,2026-01-21 08:18:16.998266
1769005097.480519,18.482,0,1.046436,0.032774,,2026-01-21 08:18:17.480519
1769005098.016437,18.99,0,0.797404,0.071362,,2026-01-21 08:18:18.016437
1769005098.498884,19.498,0,0.838731,0.013548,,2026-01-21 08:18:18.498884
1769005099.042194,20.006,0,0.708922,0.073796,,2026-01-21 08:18:19.042194
1769005099.540323,20.514,0,0.770925,0.162078,,2026-01-21 08:18:19.540323
1769005100.051966,21.022,0,0.741855,0.083655,,2026-01-21 08:18:20.051966
1769005100.542408,21.53,0,0.884528,0.105899,,2026-01-21 08:18:20.542408
1769005101.081401,22.038,0,1.046506,-0.002549,,2026-01-21 08:18:21.081401
1769005101.577626,22.547,0,1.056751,-0.000372,,2026-01-21 08:18:21.577626
1769005102.099187,23.056,0,0.994701,-0.014276,,2026-01-21 08:18:22.099187
1769005102.640648,23.565,0,0.993572,-0.007478,,2026-01-21 08:18:22.640648
1769005103.142782,24.074,0,0.987737,-0.010502,,2026-01-21 08:18:23.142782
1769005103.601432,24.582,0,0.989827,-0.010228,,2026-01-21 08:18:23.601432
1769005104.637188,25.091,0,0.97633,-0.009779,,2026-01-21 08:18:24.637188
1769005104.785726,25.6,0,0.988058,-0.006227,,2026-01-21 08:18:24.785726
1769005105.473888,26.108,0,0.990005,-0.010226,,2026-01-21 08:18:25.473888
1769005105.741069,26.616,0,0.990409,-0.009737,,2026-01-21 08:18:25.741069
1769005106.841054,27.125,0,0.990656,-0.010264,,2026-01-21 08:18:26.841054
1769005106.994194,27.633,0,0.991656,-0.011393,,2026-01-21 08:18:26.994194
1769005107.434058,28.142,0,0.990477,-0.009565,,2026-01-21 08:18:27.434058
1769005107.730559,28.65,0,0.991313,-0.009089,,2026-01-21 08:18:27.730559
1769005108.160663,29.159,0,0.987203,-0.008992,,2026-01-21 08:18:28.160663
1769005108.891266,29.667,0,0.988862,-0.008575,,2026-01-21 08:18:28.891266
1769005109.180497,30.176,0,0.984899,-0.011548,,2026-01-21 08:18:29.180497
1769005109.73011,30.684,0,0.99595,-0.010221,,2026-01-21 08:18:29.730110
1769005110.200637,31.193,0,0.992875,-0.009575,,2026-01-21 08:18:30.200637
1769005110.765348,31.701,0,0.984985,-0.01056,,2026-01-21 08:18:30.765348
1769005111.221294,32.21,0,0.992793,-0.010582,,2026-01-21 08:18:31.221294
1769005111.840402,32.718,0,0.986785,-0.011029,,2026-01-21 08:18:31.840402
1769005112.240575,33.227,0,0.998125,-0.008681,,2026-01-21 08:18:32.240575
1769005112.782332,33.735,0,0.987786,-0.010887,,2026-01-21 08:18:32.782332
1769005113.30159,34.244,0,0.990225,-0.010587,,2026-01-21 08:18:33.301590
1769005113.794029,34.752,0,0.992542,-0.009719,,2026-01-21 08:18:33.794029
1769005114.69366,35.677,0,1.227821,0.014623,1769005114.67166,2026-01-21 08:18:34.693660
1769005115.2089,36.186,0,0.987648,0.002114,1769005114.6779,2026-01-21 08:18:35.208900
1769005115.719748,36.695,0,0.990282,-0.009508,1769005114.679748,2026-01-21 08:18:35.719748
