host_timestamp,device_timestamp,steps,raw_magnitude,filtered_magnitude,last_buzz,datetime
1769005452.244716,15.451,0,1.038018,0.024471,,2026-01-21 08:24:12.244716
1769005452.691321,15.96,0,1.021531,0.023564,,2026-01-21 08:24:12.691321
1769005453.217822,16.468,0,1.017508,0.020587,,2026-01-21 08:24:13.217822
1769005453.719511,16.977,0,1.021967,0.022053,,2026-01-21 08:24:13.719511
1769005454.275178,17.485,0,1.023881,0.025887,,2026-01-21 08:24:14.275178
1769005454.734384,17.993,0,1.028613,0.024935,,2026-01-21 08:24:14.734384
1769005455.269059,18.501,0,1.019828,0.022813,,2026-01-21 08:24:15.269059
1769005455.748848,19.009,0,1.027288,0.021604,,2026-01-21 08:24:15.748848
1769005456.293419,19.517,0,1.023753,0.021875,,2026-01-21 08:24:16.293419
1769005456.811784,20.025,0,1.019522,0.022304,,2026-01-21 08:24:16.811784
1769005457.315541,20.533,0,1.026424,0.022373,,2026-01-21 08:24:17.315541
1769005457.86173,21.042,0,1.013746,0.01892,,2026-01-21 08:24:17.861730
1769005458.339392,21.55,0,1.027964,0.023931,,2026-01-21 08:24:18.339392
1769005458.842447,22.059,0,1.021666,0.021284,,2026-01-21 08:24:18.842447
1769005459.293409,22.567,0,1.029968,0.024751,,2026-01-21 08:24:19.293409
1769005460.529545,23.075,0,1.012982,0.022475,,2026-01-21 08:24:20.529545
1769005460.708171,23.583,0,1.021165,0.022167,,2026-01-21 08:24:20.708171
1769005460.853147,24.091,0,1.023858,0.021881,,2026-01-21 08:24:20.853147
1769005461.806507,24.599,0,1.024207,0.02338,,2026-01-21 08:24:21.806507
1769005461.927636,25.107,0,1.024646,0.022624,,2026-01-21 08:24:21.927636
1769005462.830276,25.615,0,1.020125,0.023577,,2026-01-21 08:24:22.830276
1769005463.023469,26.123,0,1.020099,0.025627,,2026-01-21 08:24:23.023469
1769005463.935756,26.631,0,1.02684,0.024443,,2026-01-21 08:24:23.935756
1769005464.048682,27.139,0,1.022652,0.026449,,2026-01-21 08:24:24.048682
1769005464.981084,27.647,0,1.023479,0.022991,,2026-01-21 08:24:24.981084
1769005465.23838,28.155,0,1.026628,0.023609,,2026-01-21 08:24:25.238380
1769005465.412062,28.663,0,1.016985,0.022757,,2026-01-21 08:24:25.412062
1769005465.96567,29.171,0,1.027399,0.023713,,2026-01-21 08:24:25.965670
1769005466.465886,29.679,0,1.025773,0.025446,,2026-01-21 08:24:26.465886
1769005466.921084,30.187,0,1.02511,0.023356,,2026-01-21 08:24:26.921084
1769005467.504443,30.695,0,1.024977,0.024398,,2026-01-21 08:24:27.504443
1769005467.930964,31.203,0,1.029521,0.024371,,2026-01-21 08:24:27.930964
1769005468.473062,31.711,0,1.025811,0.024521,,2026-01-21 08:24:28.473062
1769005468.95268,32.219,0,0.795493,0.043121,,2026-01-21 08:24:28.952680
1769005469.505308,32.727,0,0.966276,0.029263,,2026-01-21 08:24:29.505308
1769005469.97278,33.235,0,0.938215,0.08654,,2026-01-21 08:24:29.972780
1769005470.513169,33.743,0,0.859967,0.177304,,2026-01-21 08:24:30.513169
1769005470.988568,34.251,0,1.188626,0.195684,,2026-01-21 08:24:30.988568
1769005471.532288,34.759,0,1.658075,0.383042,,2026-01-21 08:24:31.532288
1769005472.43457,35.66,0,1.037144,0.237947,1769005472.41257,2026-01-21 08:24:32.434570
1769005472.913107,36.169,0,1.202881,0.038289,1769005472.382107,2026-01-21 08:24:32.913107
1769005473.451099,36.678,0,0.783922,0.007693,1769005472.411099,2026-01-21 08:24:33.451099
1769005473.933261,37.186,0,1.452207,0.148803,1769005472.3852608,2026-01-21 08:24:33.933261
1769005474.473295,37.695,0,1.036834,-0.017627,1769005472.416295,2026-01-21 08:24:34.473295
1769005474.948547,38.204,0,1.036736,0.010854,1769005472.382547,2026-01-21 08:24:34.948547
1769005475.492634,38.713,0,1.018233,0.067882,1769005472.417634,2026-01-21 08:24:35.492634
1769005475.974755,39.222,0,1.022868,0.04274,1769005472.390755,2026-01-21 08:24:35.974755
1769005476.514035,39.731,0,1.016766,0.015813,1769005472.421035,2026-01-21 08:24:36.514035
1769005476.993732,40.24,0,1.007554,0.016877,1769005472.391732,2026-01-21 08:24:36.993732
1769005477.584831,40.749,0,1.025632,0.070196,1769005472.473831,2026-01-21 08:24:37.584831
1769005478.014521,41.258,0,1.021049,0.003226,1769005472.394521,2026-01-21 08:24:38.014521
1769005478.485567,41.767,0,1.040041,0.034644,1769005472.3565671,2026-01-21 08:24:38.485567
1769005479.035169,42.275,0,1.000067,0.030339,1769005472.3981688,2026-01-21 08:24:39.035169
1769005479.591245,42.784,0,1.028325,0.020764,1769005472.445245,2026-01-21 08:24:39.591245
1769005480.053964,43.292,0,1.028051,0.004015,1769005472.3999639,2026-01-21 08:24:40.053964
1769005480.532589,43.801,0,1.021253,0.017122,1769005472.3695889,2026-01-21 08:24:40.532589
1769005481.072447,44.309,0,1.061072,0.041514,1769005472.401447,2026-01-21 08:24:41.072447
1769005481.731481,44.818,0,1.040992,0.032399,1769005472.551481,2026-01-21 08:24:41.731481
1769005482.153552,45.326,0,1.024016,0.022727,1769005472.465552,2026-01-21 08:24:42.153552
1769005482.567247,45.835,0,0.938063,0.015593,1769005472.370247,2026-01-21 08:24:42.567247
1769005483.348209,46.343,0,1.060517,0.025762,1769005472.643209,2026-01-21 08:24:43.348209
1769005483.593504,46.852,0,1.020786,0.020377,1769005472.379504,2026-01-21 08:24:43.593504
1769005484.133578,47.36,0,1.030864,0.034773,1769005472.4115782,2026-01-21 08:24:44.133578
1769005484.614049,47.869,0,0.980945,0.018686,1769005472.383049,2026-01-21 08:24:44.614049
1769005485.153159,48.377,0,1.019208,0.029809,1769005472.4141588,2026-01-21 08:24:45.153159
1769005485.664983,48.886,0,1.039906,0.034766,1769005472.4169831,2026-01-21 08:24:45.664983
