host_timestamp,device_timestamp,steps,raw_magnitude,filtered_magnitude,last_buzz,datetime
1769004270.902881,34.688,0,1.038288,0.032192,,2026-01-21 08:04:30.902881
1769004271.902724,35.659,0,1.08211,0.038233,1769004271.880724,2026-01-21 08:04:31.902724
1769004272.466606,36.168,0,1.041794,0.040664,1769004271.935606,2026-01-21 08:04:32.466606
1769004272.914222,36.677,0,1.026152,0.030534,1769004271.874222,2026-01-21 08:04:32.914222
1769004273.455569,37.185,0,1.033743,0.03119,1769004271.907569,2026-01-21 08:04:33.455569
1769004273.938852,37.694,0,1.007061,0.017841,1769004271.8818521,2026-01-21 08:04:33.938852
1769004274.475237,38.202,0,1.029902,0.033179,1769004271.9102368,2026-01-21 08:04:34.475237
1769004274.955349,38.711,0,1.031895,0.032319,1769004271.881349,2026-01-21 08:04:34.955349
1769004275.463486,39.219,0,1.022725,0.029583,1769004271.881486,2026-01-21 08:04:35.463486
1769004275.96744,39.728,0,1.028299,0.032606,1769004271.8764398,2026-01-21 08:04:35.967440
1769004276.46792,40.236,0,1.031859,0.033275,1769004271.86892,2026-01-21 08:04:36.467920
1769004277.023689,40.745,0,1.029447,0.034633,1769004271.915689,2026-01-21 08:04:37.023689
1769004277.485298,41.253,0,1.026464,0.028584,1769004271.869298,2026-01-21 08:04:37.485298
1769004278.601025,41.762,0,1.04752,0.039375,1769004272.476025,2026-01-21 08:04:38.601025
1769004278.772811,42.27,0,1.237289,0.037519,1769004272.139811,2026-01-21 08:04:38.772811
1769004279.568868,42.779,0,1.070632,0.023657,1769004272.426868,2026-01-21 08:04:39.568868
1769004279.79025,43.287,0,1.041519,0.041013,1769004272.14025,2026-01-21 08:04:39.790250
1769004280.052032,43.796,0,1.039341,0.027901,1769004271.893032,2026-01-21 08:04:40.052032
1769004280.940532,44.304,0,0.584956,0.116827,1769004272.273532,2026-01-21 08:04:40.940532
1769004281.07402,44.813,0,0.420183,0.067124,1769004271.8980198,2026-01-21 08:04:41.074020
1769004281.842006,45.321,0,0.626936,-0.015565,1769004272.158006,2026-01-21 08:04:41.842006
1769004282.095671,45.83,0,0.858574,-0.063448,1769004271.9026709,2026-01-21 08:04:42.095671
1769004283.141462,46.339,0,1.538149,0.150405,1769004272.4394622,2026-01-21 08:04:43.141462
1769004283.192548,46.848,0,1.051366,-0.349748,1769004271.981548,2026-01-21 08:04:43.192548
1769004283.633819,47.357,0,0.644186,-0.033544,1769004271.913819,2026-01-21 08:04:43.633819
1769004284.136242,47.866,1,0.494034,0.444369,1769004271.9072418,2026-01-21 08:04:44.136242
1769004284.6616,48.375,2,0.985846,0.596644,1769004271.9236002,2026-01-21 08:04:44.661600
1769004285.157853,48.884,3,1.598477,0.666699,1769004271.910853,2026-01-21 08:04:45.157853
1769004285.640537,49.392,4,1.762908,0.729689,1769004271.885537,2026-01-21 08:04:45.640537
1769004286.164623,49.901,4,1.740836,0.54816,1769004271.900623,2026-01-21 08:04:46.164623
1769004286.656022,50.41,5,1.260287,0.604099,1769004271.883022,2026-01-21 08:04:46.656022
1769004287.135041,50.919,6,0.428427,0.352865,1769004271.853041,2026-01-21 08:04:47.135041
1769004287.676926,51.427,6,0.978502,0.143048,1769004271.886926,2026-01-21 08:04:47.676926
1769004288.201435,51.936,6,0.970953,0.013656,1769004271.902435,2026-01-21 08:04:48.201435
1769004288.700929,52.444,6,1.051561,0.076709,1769004271.893929,2026-01-21 08:04:48.700929
1769004289.210846,52.953,6,1.076463,0.023202,1769004271.894846,2026-01-21 08:04:49.210846
1769004289.715999,53.461,6,1.204323,0.028978,1769004271.891999,2026-01-21 08:04:49.715999
1769004290.210872,53.97,6,1.026496,0.026339,1769004271.877872,2026-01-21 08:04:50.210872
1769004290.736119,54.478,6,1.103248,0.053183,1769004271.895119,2026-01-21 08:04:50.736119
1769004291.216251,54.987,6,1.025691,0.037898,1769004271.866251,2026-01-21 08:04:51.216251
1769004291.757112,55.495,6,1.028928,0.038728,1769004271.899112,2026-01-21 08:04:51.757112
1769004292.238412,56.004,6,1.034999,0.036222,1769004271.8714118,2026-01-21 08:04:52.238412
1769004292.782246,56.512,6,1.074254,0.043556,1769004271.907246,2026-01-21 08:04:52.782246
1769004293.256677,57.021,6,1.040539,0.04192,1769004271.8726768,2026-01-21 08:04:53.256677
1769004294.30625,57.529,6,1.041148,0.041729,1769004272.4142501,2026-01-21 08:04:54.306250
1769004294.449979,58.038,6,1.046264,0.037403,1769004272.048979,2026-01-21 08:04:54.449979
1769004294.809078,58.546,6,1.028254,0.034567,1769004271.900078,2026-01-21 08:04:54.809078
1769004295.294519,59.055,6,1.035561,0.039258,1769004271.876519,2026-01-21 08:04:55.294519
1769004295.838252,59.563,6,1.041557,0.039409,1769004271.912252,2026-01-21 08:04:55.838252
1769004296.319246,60.072,6,1.042213,0.04095,1769004271.884246,2026-01-21 08:04:56.319246
1769004296.920082,60.58,6,1.026735,0.035311,1769004271.977082,2026-01-21 08:04:56.920082
1769004297.336778,61.088,6,1.03584,0.037117,1769004271.885778,2026-01-21 08:04:57.336778
1769004297.816049,61.596,6,1.038852,0.038219,1769004271.857049,2026-01-21 08:04:57.816049
1769004298.38917,62.105,6,1.037533,0.038217,1769004271.92117,2026-01-21 08:04:58.389170
1769004298.836397,62.613,6,1.037533,0.037915,1769004271.8603969,2026-01-21 08:04:58.836397
1769004299.367998,63.122,6,1.037559,0.043381,1769004271.882998,2026-01-21 08:04:59.367998
1769004299.895127,63.63,6,1.027088,0.037145,1769004271.902127,2026-01-21 08:04:59.895127
1769004300.387706,64.139,6,1.038246,0.036531,1769004271.885706,2026-01-21 08:05:00.387706
1769004300.874737,64.647,6,1.040012,0.03679,1769004271.864737,2026-01-21 08:05:00.874737
1769004301.896488,65.664,6,1.200129,0.052539,1769004301.8744879,2026-01-21 08:05:01.896488
1769004302.437449,66.173,6,1.039629,0.0398,1769004301.906449,2026-01-21 08:05:02.437449
1769004302.943172,66.682,6,1.040912,0.036623,1769004301.903172,2026-01-21 08:05:02.943172
1769004303.45808,67.19,6,1.032189,0.03752,1769004301.91008,2026-01-21 08:05:03.458080
1769004303.931788,67.699,6,1.038296,0.038768,1769004301.874788,2026-01-21 08:05:03.931788
1769004304.47801,68.207,6,1.038867,0.039537,1769004301.91301,2026-01-21 08:05:04.478010
1769004304.957027,68.716,6,1.041534,0.041085,1769004301.883027,2026-01-21 08:05:04.957027
1769004305.505486,69.224,6,1.03508,0.033553,1769004301.923486,2026-01-21 08:05:05.505486
1769004305.976278,69.733,6,1.032346,0.038001,1769004301.885278,2026-01-21 08:05:05.976278
1769004306.46722,70.241,6,1.046998,0.038696,1769004301.86822,2026-01-21 08:05:06.467220
1769004307.006135,70.75,6,1.038852,0.03703,1769004301.898135,2026-01-21 08:05:07.006135
1769004307.47865,71.258,6,1.022715,0.036054,1769004301.8626502,2026-01-21 08:05:07.478650
