host_timestamp,device_timestamp,steps,raw_magnitude,filtered_magnitude,last_buzz,datetime
1769526683.73969,16.026,0,1.046292,0.044513,,2026-01-27 09:11:23.739690
1769526685.740365,18.03,0,1.184166,-0.054721,,2026-01-27 09:11:25.740365
1769526687.789427,20.033,0,0.78715,-0.084155,,2026-01-27 09:11:27.789427
1769526689.76921,22.036,0,1.078385,-0.031042,,2026-01-27 09:11:29.769210
1769526691.747013,24.039,0,1.172939,0.181395,,2026-01-27 09:11:31.747013
1769526693.79296,26.042,0,0.380235,0.102021,,2026-01-27 09:11:33.792960
1769526695.894166,28.045,0,0.521166,0.021472,,2026-01-27 09:11:35.894166
1769526697.745106,30.048,0,1.410972,0.220681,,2026-01-27 09:11:37.745106
1769526699.78967,32.051,0,0.559445,-0.09536,,2026-01-27 09:11:39.789670
1769526701.769286,34.054,0,0.924071,-0.01983,,2026-01-27 09:11:41.769286
1769526703.807,36.059,0,1.013605,0.034636,1769526703.3939998,2026-01-27 09:11:43.807000
1769526705.790231,38.062,0,1.033956,0.04058,1769526703.374231,2026-01-27 09:11:45.790231
1769526707.769579,40.065,0,1.053591,0.051256,1769526703.350579,2026-01-27 09:11:47.769579
1769526709.82227,42.068,0,1.047724,0.046058,1769526703.40027,2026-01-27 09:11:49.822270
1769526711.789857,44.071,0,1.037802,0.039752,1769526703.364857,2026-01-27 09:11:51.789857
1769526713.832024,46.074,0,1.039534,0.040379,1769526703.4040241,2026-01-27 09:11:53.832024
1769526715.810791,48.077,0,1.028586,0.039856,1769526703.379791,2026-01-27 09:11:55.810791
1769526717.786247,50.08,0,1.042958,0.04177,1769526703.352247,2026-01-27 09:11:57.786247
1769526719.830729,52.083,0,1.042657,0.042073,1769526703.393729,2026-01-27 09:11:59.830729
1769526721.804599,54.086,0,1.045364,0.043614,1769526703.364599,2026-01-27 09:12:01.804599
