host_timestamp,device_timestamp,steps,raw_magnitude,filtered_magnitude,last_buzz,datetime
1769526415.432221,36.034,0,1.469589,0.092176,1769526415.0422208,2026-01-27 09:06:55.432221
1769526417.4154,38.038,0,1.050367,0.05039,1769526415.0214,2026-01-27 09:06:57.415400
1769526419.388278,40.041,0,1.041264,0.046866,1769526414.991278,2026-01-27 09:06:59.388278
1769526421.434678,42.044,0,1.042281,0.018534,1769526415.034678,2026-01-27 09:07:01.434678
1769526423.413858,44.047,0,1.126624,0.077828,1769526415.0108578,2026-01-27 09:07:03.413858
1769526425.50041,46.05,0,1.046311,0.042984,1769526415.0944102,2026-01-27 09:07:05.500410
1769526427.435028,48.053,0,1.049447,0.057302,1769526415.0260282,2026-01-27 09:07:07.435028
1769526429.414743,50.056,0,1.031199,0.047554,1769526415.002743,2026-01-27 09:07:09.414743
1769526431.54305,52.059,0,1.139466,0.032192,1769526415.12805,2026-01-27 09:07:11.543050
1769526433.435371,54.062,0,1.042393,0.045861,1769526415.017371,2026-01-27 09:07:13.435371
1769526435.475929,56.065,0,1.007272,0.032879,1769526415.054929,2026-01-27 09:07:15.475929
1769526437.463774,58.068,0,0.970332,0.037115,1769526415.039774,2026-01-27 09:07:17.463774
1769526439.436146,60.071,0,1.039947,0.06619,1769526415.009146,2026-01-27 09:07:19.436146
