host_timestamp,device_timestamp,steps,raw_magnitude,filtered_magnitude,last_buzz,datetime
1769005021.757874,4.307,0,1.04116,0.04542,,2026-01-21 08:17:01.757874
1769005022.273678,4.816,0,1.042223,0.041797,,2026-01-21 08:17:02.273678
1769005022.78082,5.324,0,1.042146,0.04204,,2026-01-21 08:17:02.780820
1769005023.358482,5.832,0,1.045155,0.04399,,2026-01-21 08:17:03.358482
1769005023.796619,6.34,0,1.005168,0.038342,,2026-01-21 08:17:03.796619
1769005024.337881,6.848,0,1.029148,0.038543,,2026-01-21 08:17:04.337881
1769005024.808285,7.356,0,1.041095,0.037383,,2026-01-21 08:17:04.808285
1769005025.350237,7.864,0,1.043244,0.04495,,2026-01-21 08:17:05.350237
1769005025.857357,8.372,0,1.04116,0.043411,,2026-01-21 08:17:05.857357
1769005026.376282,8.88,0,1.045157,0.043393,,2026-01-21 08:17:06.376282
1769005026.86692,9.388,0,1.042141,0.043057,,2026-01-21 08:17:06.866920
1769005027.396077,9.896,0,1.042214,0.042983,,2026-01-21 08:17:07.396077
1769005027.870867,10.404,0,1.041106,0.044056,,2026-01-21 08:17:07.870867
1769005028.427677,10.912,0,1.043102,0.044819,,2026-01-21 08:17:08.427677
1769005028.915227,11.42,0,1.044181,0.043379,,2026-01-21 08:17:08.915227
1769005029.902384,11.928,0,1.046185,0.046004,,2026-01-21 08:17:09.902384
1769005030.041388,12.436,0,1.04706,0.036197,,2026-01-21 08:17:10.041388
1769005031.067306,12.944,0,0.936885,0.037024,,2026-01-21 08:17:11.067306
1769005031.286322,13.452,0,1.155047,0.19738,,2026-01-21 08:17:11.286322
1769005031.440761,13.96,0,1.14447,0.190554,,2026-01-21 08:17:11.440761
1769005032.347683,14.468,0,1.286264,0.003819,,2026-01-21 08:17:12.347683
1769005032.495895,14.976,0,1.661945,0.078056,,2026-01-21 08:17:12.495895
1769005033.275126,15.484,0,1.41207,0.04594,,2026-01-21 08:17:13.275126
1769005033.460385,15.992,0,1.096024,0.034277,,2026-01-21 08:17:13.460385
1769005034.320396,16.5,0,1.204517,0.075052,,2026-01-21 08:17:14.320396
1769005034.47352,17.008,0,1.054951,0.056996,,2026-01-21 08:17:14.473520
1769005035.039072,17.516,0,1.024311,0.03062,,2026-01-21 08:17:15.039072
1769005035.498732,18.024,0,0.991827,0.016409,,2026-01-21 08:17:15.498732
1769005036.049621,18.532,0,1.019304,0.024807,,2026-01-21 08:17:16.049621
1769005036.516559,19.04,0,1.016391,0.018514,,2026-01-21 08:17:16.516559
1769005037.062993,19.548,0,1.011145,0.011745,,2026-01-21 08:17:17.062993
1769005037.552285,20.057,0,1.016275,0.012826,,2026-01-21 08:17:17.552285
1769005038.012663,20.565,0,1.013983,0.016152,,2026-01-21 08:17:18.012663
1769005038.565054,21.073,0,1.016703,0.015332,,2026-01-21 08:17:18.565054
1769005039.039162,21.581,0,1.015593,0.014889,,2026-01-21 08:17:19.039162
1769005039.585126,22.089,0,1.01687,0.015567,,2026-01-21 08:17:19.585126
1769005040.058362,22.597,0,0.991242,0.016593,,2026-01-21 08:17:20.058362
1769005040.600292,23.105,0,1.013014,0.016882,,2026-01-21 08:17:20.600292
1769005041.07448,23.613,0,1.03342,0.028239,,2026-01-21 08:17:21.074480
1769005041.617293,24.121,0,1.01962,0.014237,,2026-01-21 08:17:21.617293
1769005042.121052,24.629,0,1.039114,0.015066,,2026-01-21 08:17:22.121052
1769005042.637284,25.137,0,0.978616,-0.012399,,2026-01-21 08:17:22.637284
1769005043.126188,25.645,0,0.978792,-0.015921,,2026-01-21 08:17:23.126188
1769005043.651619,26.154,0,0.973424,-0.023043,,2026-01-21 08:17:23.651619
1769005044.13961,26.662,0,0.975666,-0.025552,,2026-01-21 08:17:24.139610
1769005045.239338,27.171,0,0.975306,-0.024929,,2026-01-21 08:17:25.239338
1769005045.352329,27.68,0,0.975661,-0.024235,,2026-01-21 08:17:25.352329
1769005045.856499,28.188,0,0.977559,-0.023802,,2026-01-21 08:17:25.856499
1769005046.239109,28.697,0,0.979366,-0.023549,,2026-01-21 08:17:26.239109
1769005047.240544,29.206,0,0.977839,-0.026866,,2026-01-21 08:17:27.240544
1769005047.55754,29.714,0,0.975314,-0.024412,,2026-01-21 08:17:27.557540
1769005047.670618,30.223,0,0.923273,-0.010922,,2026-01-21 08:17:27.670618
1769005048.820728,30.731,0,0.965579,-0.015927,,2026-01-21 08:17:28.820728
1769005048.860046,31.24,0,1.125889,-0.012792,,2026-01-21 08:17:28.860046
1769005049.61844,31.748,0,0.960818,-0.015855,,2026-01-21 08:17:29.618440
1769005049.801892,32.257,0,0.981653,-0.03401,,2026-01-21 08:17:29.801892
1769005050.272699,32.765,0,0.99359,-0.001835,,2026-01-21 08:17:30.272699
